Тип,"Sном, МВА",Пределы регулирования,Uном.обм ВН кВ,Uном.обм НН кВ,"Uк, %","ΔРк, кВт","Рх, кВт","Iх, %","Rт, Ом","Хт, Ом","ΔQх, квар"
ТМ-100/35,"0,1","±2*1,5 %",35,"0,4","6,5","1,9","0,5","2,6",241,796,"2,6"
ТМ-160/35,"0,16","±2*1,5 %",35,"0,4;0,69","6,5","2,6;3,1","0,7","2,4",127;148,498,"3,8"
ТМ-250/35,"0,25","±2*1,5 %",35,"0,4;0,69","6,5","3,7;4,2",1,"2,3",72;82,318,"5,7"
ТМН(ТМ)-400/35,"0,4","±6*1,5 %",35,"0,4;0,69","6,5","7,6;8,5","1,9",2,"23,5;26,2",126,"12,6"
ТМН(ТМ)-630/35,"0,63","±6*1,5 %",35,"0,4; 0,69; 6,3; 11","6,5","11,6; 12,2","2,7","1,5","14,9;14,2","79,6",15
ТМН(ТМ)-1000/35,1,"±6*1,5 %",35,"0,4; 0,69; 6,3; 11","6,5","16,5;18","3,6","1,4","7,9;8,6","49,8","22,4"
ТМН(ТМ)-1600/35,"1,6","±6*1,5 %",35,"6,3; 11","6,5","23,5;26","5,1","1,1","11,2;12,4","49,2","17,6"
ТМН(ТМ)-2500/35,"2,5","±6*1,5 %",35,"6,3; 11","6,5","23,5;26","5,1","1,1","4,6;5,1","31,9","27,5"
ТМН(ТМ)-4000/35,4,"±6*1,5 %",35,"6,3; 11","7,5","33,5","6,7",1,"2,6",23,40
ТМН(ТМ)-6300/35,"6,3","±6*1,5 %",35,"6,3; 11","7,5","46,5","9,2","0,9","1,4","14,6","56,7"
ТД-10000/35,10,"±2*2,5 %","38,5","6,3;10,5","7,5",65,"14,5","0,8","0,96","11,1",80
ТМН-10000/35,10,"±9*1,3 %","36,75","6,3;10,5","7,5",65,"14,5","0,8","0,88","10,1",80
ТДНС-10000/35,10,"±8*1,5 %","36,75","6,3;10,5",8,60,"12,5","0,6","0,81","10,8",60
ТД-16000/35,16,"±2*2,5 %","38,5","6,3;10,5",8,90,21,"0,6","0,52","7,4",96
ТДНС-16000/35,16,"±8*1,5 %","36,75","6,3-6,3; 10,5-10,5",10,85,18,"0,55","0,45","8,4",88
ТРДНС-25000/35,25,"±8*1,5 %","36,75","6,3-6,3; 10,5-10,5","9,5",115,25,"0,5","0,25","5,1",125
ТРДНС-32000/35,32,"±8*1,5 %","36,75","6,3-6,3; 10,5-10,5","11,5",145,30,"0,45","0,19","4,8",144
ТРДНС-40000/35,40,"±8*1,5 %","36,75","6,3-6,3; 10,5-10,5","11,5",170,36,"0,4","0,14","3,9",160
ТРДНС-63000/35,63,"±8*1,5 %","36,75","6,3-6,3; 10,5-10,5","11,5",250,50,"0,3","0,1","2,5",220
ТМН-2500/110,"2,5","+10*1,5 % −8*1,5 %",110,"6,6;11","10,5",22,"5,5","1,5","42,6","508,2","37,5"
ТМН-6300/110,"6,3","±9*1,78 %",115,"6,6;11","10,5",44,"11,5","0,8","14,7","220,4","50,4"
ТДН-10000/110,10,"±9*1,78 %",115,"6,6;11","10,5",60,14,"0,7","7,95",139,70
ТДН-16000/110,16,"±9*1,78 %",115,"6,5;11","10,5",85,19,"0,7","4,38","86,7",112
ТРДН(ТРДНФ25000/110,25,"±9*1,78 %",115,"6,3/6,5;6,3/10,5;10,5/10,5","10,5",120,27,"0,7","2,54","55,9",175
ТДНЖ-25000/110,25,"±9*1,78 %",115,"27,5","10,5",120,30,"0,7","2,5","55,5",175
ТД-40000/110,40,"±2*2,5 %",121,"3,15;6,3;10,5","10,5",160,50,"0,65","1,46","38,4",260
ТРДН-40000/110,40,"±9*1,78 %",115,"6,3/6,3;6,3/10,5;10,5/10,5","10,5",172,36,"0,65","1,4","34,7",260
ТРДЦН-63000/110,63,"±9*1,78 %",115,"6,3/6,3;6,3/10,5;10,5/10,5","10,5",260,59,"0,6","0,87",22,410
ТРДЦНК-63000/110,63,"±9*1,78 %",115,"6,3/6,3;6,3/10,5;10,5/10,5","10,5",245,59,"0,6","0,8",22,378
ТДЦ-80000/110,80,"±2*2,5 %",121,"6,3;10,5;13,8","10,5",310,70,"0,6","0,71","19,2",480
